isolate,species,width,length
ICMP 16948,P. cocois,7.425,9.9
ICMP 16948,P. cocois,7.425,9.9
ICMP 16948,P. cocois,8.91,9.9
ICMP 16948,P. cocois,9.9,12.375
ICMP 16948,P. cocois,9.9,12.375
ICMP 16948,P. cocois,12.375,14.85
ICMP 16948,P. cocois,7.425,9.9
ICMP 16948,P. cocois,9.9,14.85
ICMP 16948,P. cocois,9.9,9.9
ICMP 16948,P. cocois,7.425,9.9
ICMP 16948,P. cocois,10.89,12.375
ICMP 16948,P. cocois,9.9,12.375
ICMP 16948,P. cocois,9.9,14.85
ICMP 16948,P. cocois,10.89,12.375
ICMP 16948,P. cocois,9.9,10.89
ICMP 16948,P. cocois,8.415,8.415
ICMP 16948,P. cocois,9.9,10.89
ICMP 16948,P. cocois,9.9,12.375
ICMP 16948,P. cocois,9.9,10.89
ICMP 16948,P. cocois,10.89,12.375
ICMP 16949,P. cocois,9.9,12.375
ICMP 16949,P. cocois,9.9,9.9
ICMP 16949,P. cocois,9.9,9.9
ICMP 16949,P. cocois,9.9,12.375
ICMP 16949,P. cocois,12.375,12.375
ICMP 16949,P. cocois,9.9,9.9
ICMP 16949,P. cocois,9.9,9.9
ICMP 16949,P. cocois,7.425,7.5
ICMP 16949,P. cocois,9.9,12.375
ICMP 16949,P. cocois,9.9,9.9
ICMP 16949,P. cocois,12.375,15.84
ICMP 16949,P. cocois,8.415,9.9
ICMP 16949,P. cocois,9.9,12.375
ICMP 16949,P. cocois,9.9,10.89
ICMP 16949,P. cocois,9.9,12.375
ICMP 16949,P. cocois,9.9,12.375
ICMP 16949,P. cocois,7.425,9.9
ICMP 16949,P. cocois,7.425,9.9
ICMP 16949,P. cocois,9.9,12.375
ICMP 16949,P. cocois,10.89,13.365
ICMP 16471,P. agathicidia,10.89,12.375
ICMP 16471,P. agathicidia,12.375,13.365
ICMP 16471,P. agathicidia,9.9,10.89
ICMP 16471,P. agathicidia,14.85,17.325
ICMP 16471,P. agathicidia,9.9,10.89
ICMP 16471,P. agathicidia,10.89,12.375
ICMP 16471,P. agathicidia,10.89,12.375
ICMP 16471,P. agathicidia,12.5,12.375
ICMP 16471,P. agathicidia,10.89,12.375
ICMP 16471,P. agathicidia,10.89,10.89
ICMP 16471,P. agathicidia,12.375,17.325
ICMP 16471,P. agathicidia,12.375,12.375
ICMP 16471,P. agathicidia,13.365,13.365
ICMP 16471,P. agathicidia,9.9,10.89
ICMP 16471,P. agathicidia,12.375,13.365
ICMP 16471,P. agathicidia,9.9,10.89
ICMP 16471,P. agathicidia,12.375,14.85
ICMP 16471,P. agathicidia,9.9,9.9
ICMP 16471,P. agathicidia,10.89,12.375
ICMP 16471,P. agathicidia,10.89,13.365
ICMP 18360,P. agathicidia,9.9,9.9
ICMP 18360,P. agathicidia,9.9,12.375
ICMP 18360,P. agathicidia,12.375,12.375
ICMP 18360,P. agathicidia,9.9,12.375
ICMP 18360,P. agathicidia,12.375,12.375
ICMP 18360,P. agathicidia,9.9,9.9
ICMP 18360,P. agathicidia,9.9,12.375
ICMP 18360,P. agathicidia,12.375,14.85
ICMP 18360,P. agathicidia,10.89,12.375
ICMP 18360,P. agathicidia,9.9,10.89
ICMP 18360,P. agathicidia,9.9,12.375
ICMP 18360,P. agathicidia,9.9,12.375
ICMP 18360,P. agathicidia,9.9,12.375
ICMP 18360,P. agathicidia,12.375,13.365
ICMP 18360,P. agathicidia,13.365,10.89
ICMP 18360,P. agathicidia,13.365,14.85
ICMP 18360,P. agathicidia,10.89,9.9
ICMP 18360,P. agathicidia,12.375,12.375
ICMP 18360,P. agathicidia,12.375,12.375
ICMP 18360,P. agathicidia,10.89,12.375
ICMP 18401,P. agathicidia,9.9,12.375
ICMP 18401,P. agathicidia,9.9,9.9
ICMP 18401,P. agathicidia,7.425,7.425
ICMP 18401,P. agathicidia,9.9,10.89
ICMP 18401,P. agathicidia,10.89,12.375
ICMP 18401,P. agathicidia,10.89,10.89
ICMP 18401,P. agathicidia,9.9,12.375
ICMP 18401,P. agathicidia,12.375,12.87
ICMP 18401,P. agathicidia,9.9,9.9
ICMP 18401,P. agathicidia,12.375,12.375
ICMP 18401,P. agathicidia,12.375,13.365
ICMP 18401,P. agathicidia,9.9,17.325
ICMP 18401,P. agathicidia,13.365,17.325
ICMP 18401,P. agathicidia,9.9,9.9
ICMP 18401,P. agathicidia,10.89,10.89
ICMP 18401,P. agathicidia,12.375,12.375
ICMP 18401,P. agathicidia,9.9,10.89
ICMP 18401,P. agathicidia,9.9,9.9
ICMP 18401,P. agathicidia,12.375,12.375
ICMP 18401,P. agathicidia,12.375,9.9
ICMP 18404,P. agathicidia,12.375,12.375
ICMP 18404,P. agathicidia,9.9,9.9
ICMP 18404,P. agathicidia,12.375,12.375
ICMP 18404,P. agathicidia,12.375,12.375
ICMP 18404,P. agathicidia,12.375,12.375
ICMP 18404,P. agathicidia,9.9,9.9
ICMP 18404,P. agathicidia,10.89,10.89
ICMP 18404,P. agathicidia,13.365,13.365
ICMP 18404,P. agathicidia,10.89,12.375
ICMP 18404,P. agathicidia,10.89,12.375
ICMP 18404,P. agathicidia,12.375,14.85
ICMP 18404,P. agathicidia,7.35,8.415
ICMP 18404,P. agathicidia,14.85,14.85
ICMP 18404,P. agathicidia,8.415,8.415
ICMP 18404,P. agathicidia,10.89,12.375
ICMP 18404,P. agathicidia,10.89,10.89
ICMP 18404,P. agathicidia,9.9,10.89
ICMP 18404,P. agathicidia,9.9,10.89
ICMP 18404,P. agathicidia,10.89,12.375
ICMP 18404,P. agathicidia,12.375,15.84
ICMP 18406,P. agathicidia,9.9,12.375
ICMP 18406,P. agathicidia,10.89,10.89
ICMP 18406,P. agathicidia,10.89,10.89
ICMP 18406,P. agathicidia,9.9,9.9
ICMP 18406,P. agathicidia,9.9,9.9
ICMP 18406,P. agathicidia,9.9,12.375
ICMP 18406,P. agathicidia,9.9,9.9
ICMP 18406,P. agathicidia,12.375,12.375
ICMP 18406,P. agathicidia,12.375,13.365
ICMP 18406,P. agathicidia,13.365,13.365
ICMP 18406,P. agathicidia,12.375,10.89
ICMP 18406,P. agathicidia,10.89,12.375
ICMP 18406,P. agathicidia,10.89,9.9
ICMP 18406,P. agathicidia,9.9,12.375
ICMP 18406,P. agathicidia,9.9,9.9
ICMP 18406,P. agathicidia,12.375,12.375
ICMP 18406,P. agathicidia,12.375,12.375
ICMP 18406,P. agathicidia,12.375,12.375
ICMP 18406,P. agathicidia,9.9,9.9
ICMP 18406,P. agathicidia,9.9,9.9
ICMP 18407,P. agathicidia,12.375,12.375
ICMP 18407,P. agathicidia,9.9,9.9
ICMP 18407,P. agathicidia,12.375,12.375
ICMP 18407,P. agathicidia,10.89,10.89
ICMP 18407,P. agathicidia,9.9,9.9
ICMP 18407,P. agathicidia,9.9,9.9
ICMP 18407,P. agathicidia,12.375,12.375
ICMP 18407,P. agathicidia,12.375,12.375
ICMP 18407,P. agathicidia,9.9,9.9
ICMP 18407,P. agathicidia,12.375,12.375
ICMP 18407,P. agathicidia,10.89,10.89
ICMP 18407,P. agathicidia,10.89,10.89
ICMP 18407,P. agathicidia,10.89,10.89
ICMP 18407,P. agathicidia,12.375,10.89
ICMP 18407,P. agathicidia,9.9,9.9
ICMP 18407,P. agathicidia,10.89,9.9
ICMP 18407,P. agathicidia,9.9,9.9
ICMP 18407,P. agathicidia,9.9,9.9
ICMP 18407,P. agathicidia,12.375,12.375
ICMP 18407,P. agathicidia,9.9,9.9
ICMP 18408,P. agathicidia,12.375,13.365
ICMP 18408,P. agathicidia,9.9,12.375
ICMP 18408,P. agathicidia,9.9,9.9
ICMP 18408,P. agathicidia,10.89,12.375
ICMP 18408,P. agathicidia,9.9,9.9
ICMP 18408,P. agathicidia,12.375,9.9
ICMP 18408,P. agathicidia,9.9,10.89
ICMP 18408,P. agathicidia,9.9,10.89
ICMP 18408,P. agathicidia,10.89,9.9
ICMP 18408,P. agathicidia,10.89,9.9
ICMP 18408,P. agathicidia,9.9,9.9
ICMP 18408,P. agathicidia,10.89,12.375
ICMP 18408,P. agathicidia,9.9,9.9
ICMP 18408,P. agathicidia,12.375,12.375
ICMP 18408,P. agathicidia,10.89,9.9
ICMP 18408,P. agathicidia,9.9,9.9
ICMP 18408,P. agathicidia,9.9,9.9
ICMP 18408,P. agathicidia,9.9,10.89
ICMP 18408,P. agathicidia,9.9,10.89
ICMP 18408,P. agathicidia,9.9,10.89
ICMP 18410,P. agathicidia,9.9,12.375
ICMP 18410,P. agathicidia,12.375,12.375
ICMP 18410,P. agathicidia,9.9,10.89
ICMP 18410,P. agathicidia,9.9,12.375
ICMP 18410,P. agathicidia,12.375,12.375
ICMP 18410,P. agathicidia,12.375,12.375
ICMP 18410,P. agathicidia,12.375,12.375
ICMP 18410,P. agathicidia,12.375,12.375
ICMP 18410,P. agathicidia,9.9,12.375
ICMP 18410,P. agathicidia,9.9,12.375
ICMP 18410,P. agathicidia,12.375,12.375
ICMP 18410,P. agathicidia,10.89,12.375
ICMP 18410,P. agathicidia,12.375,12.375
ICMP 18410,P. agathicidia,9.9,9.9
ICMP 18410,P. agathicidia,9.9,9.9
ICMP 18410,P. agathicidia,10.89,12.375
ICMP 18410,P. agathicidia,10.89,13.365
ICMP 18410,P. agathicidia,10.89,13.365
ICMP 18410,P. agathicidia,12.375,12.375
ICMP 18410,P. agathicidia,10.89,12.375
ICMP 17027,P. agathicidia,14.85,14.85
ICMP 17027,P. agathicidia,12.375,14.85
ICMP 17027,P. agathicidia,12.375,14.85
ICMP 17027,P. agathicidia,14.85,9.9
ICMP 17027,P. agathicidia,14.85,14.85
ICMP 17027,P. agathicidia,14.85,14.85
ICMP 17027,P. agathicidia,14.85,14.85
ICMP 17027,P. agathicidia,14.85,14.85
ICMP 17027,P. agathicidia,9.9,14.85
ICMP 17027,P. agathicidia,9.9,9.9
ICMP 17027,P. agathicidia,9.9,14.85
ICMP 17027,P. agathicidia,7.35,14.85
ICMP 17027,P. agathicidia,7.35,14.85
ICMP 17027,P. agathicidia,9.9,14.85
ICMP 17027,P. agathicidia,7.425,14.85
ICMP 17027,P. agathicidia,7.425,9.9
ICMP 17027,P. agathicidia,9.9,14.85
ICMP 17027,P. agathicidia,9.9,12.375
ICMP 17027,P. agathicidia,9.9,14.85
ICMP 17027,P. agathicidia,9.9,14.85
ICMP 16948,P. cocois,7.5,8.75
ICMP 16948,P. cocois,8.75,10
ICMP 16948,P. cocois,8.75,10
ICMP 16948,P. cocois,11.25,12.5
ICMP 16948,P. cocois,10,12.5
ICMP 16948,P. cocois,11.25,15
ICMP 16948,P. cocois,7.5,10
ICMP 16948,P. cocois,10,12.5
ICMP 16948,P. cocois,10,10
ICMP 16948,P. cocois,8.75,10
ICMP 16948,P. cocois,11.25,12.5
ICMP 16948,P. cocois,10,12.5
ICMP 16948,P. cocois,10,15
ICMP 16948,P. cocois,11.25,12.5
ICMP 16948,P. cocois,10,11.25
ICMP 16948,P. cocois,8.75,8.75
ICMP 16948,P. cocois,10,11.25
ICMP 16948,P. cocois,10,12.5
ICMP 16948,P. cocois,10,11.25
ICMP 16948,P. cocois,11.25,12.5
ICMP 16949,P. cocois,10,12.5
ICMP 16949,P. cocois,10,10
ICMP 16949,P. cocois,10,10
ICMP 16949,P. cocois,10,12.5
ICMP 16949,P. cocois,12.5,12.5
ICMP 16949,P. cocois,10,10
ICMP 16949,P. cocois,11.25,11.25
ICMP 16949,P. cocois,9.9,11.25
ICMP 16949,P. cocois,12.375,11.25
ICMP 16949,P. cocois,10,10
ICMP 16949,P. cocois,12.5,16.25
ICMP 16949,P. cocois,8.75,10
ICMP 16949,P. cocois,10,12.5
ICMP 16949,P. cocois,10,11.25
ICMP 16949,P. cocois,10,12.5
ICMP 16949,P. cocois,10,12.5
ICMP 16949,P. cocois,7.5,10
ICMP 16949,P. cocois,7.5,7.5
ICMP 16949,P. cocois,10,12.5
ICMP 16949,P. cocois,11.25,13.75
ICMP 16471,P. agathicidia,11.25,12.5
ICMP 16471,P. agathicidia,12.5,13.75
ICMP 16471,P. agathicidia,10,11.25
ICMP 16471,P. agathicidia,15,17.5
ICMP 16471,P. agathicidia,10,11.25
ICMP 16471,P. agathicidia,11.25,12.5
ICMP 16471,P. agathicidia,11.25,12.5
ICMP 16471,P. agathicidia,12.5,12.5
ICMP 16471,P. agathicidia,11.25,12.5
ICMP 16471,P. agathicidia,11.25,11.25
ICMP 16471,P. agathicidia,12.5,17.5
ICMP 16471,P. agathicidia,12.5,12.5
ICMP 16471,P. agathicidia,13.75,13.75
ICMP 16471,P. agathicidia,10,11.25
ICMP 16471,P. agathicidia,12.5,13.75
ICMP 16471,P. agathicidia,10,11.25
ICMP 16471,P. agathicidia,12.5,15
ICMP 16471,P. agathicidia,10,10
ICMP 16471,P. agathicidia,11.25,12.5
ICMP 16471,P. agathicidia,11.25,13.75
ICMP 18360,P. agathicidia,10,10
ICMP 18360,P. agathicidia,11.25,12.5
ICMP 18360,P. agathicidia,12.5,12.5
ICMP 18360,P. agathicidia,11.25,12.5
ICMP 18360,P. agathicidia,12.5,13.75
ICMP 18360,P. agathicidia,10,10
ICMP 18360,P. agathicidia,11.25,12.5
ICMP 18360,P. agathicidia,12.5,15
ICMP 18360,P. agathicidia,11.25,12.5
ICMP 18360,P. agathicidia,10,11.25
ICMP 18360,P. agathicidia,11.25,12.5
ICMP 18360,P. agathicidia,10,13.75
ICMP 18360,P. agathicidia,10,12.5
ICMP 18360,P. agathicidia,12.5,13.75
ICMP 18360,P. agathicidia,13.75,11.25
ICMP 18360,P. agathicidia,13.75,15
ICMP 18360,P. agathicidia,11.25,10
ICMP 18360,P. agathicidia,12.5,12.5
ICMP 18360,P. agathicidia,12.5,12.5
ICMP 18360,P. agathicidia,11.25,12.5
ICMP 18401,P. agathicidia,10,12.5
ICMP 18401,P. agathicidia,10,10
ICMP 18401,P. agathicidia,8.75,8.75
ICMP 18401,P. agathicidia,10,11.25
ICMP 18401,P. agathicidia,11.25,12.5
ICMP 18401,P. agathicidia,11.25,11.25
ICMP 18401,P. agathicidia,10,12.5
ICMP 18401,P. agathicidia,12.5,13.75
ICMP 18401,P. agathicidia,10,10
ICMP 18401,P. agathicidia,12.5,12.5
ICMP 18401,P. agathicidia,12.5,13.75
ICMP 18401,P. agathicidia,10,17.5
ICMP 18401,P. agathicidia,13.75,17.5
ICMP 18401,P. agathicidia,10,10
ICMP 18401,P. agathicidia,11.25,11.25
ICMP 18401,P. agathicidia,12.5,12.5
ICMP 18401,P. agathicidia,10,11.25
ICMP 18401,P. agathicidia,10,10
ICMP 18401,P. agathicidia,12.5,12.5
ICMP 18401,P. agathicidia,12.5,10
ICMP 18404,P. agathicidia,12.5,12.5
ICMP 18404,P. agathicidia,10,10
ICMP 18404,P. agathicidia,12.5,12.5
ICMP 18404,P. agathicidia,12.5,12.5
ICMP 18404,P. agathicidia,12.5,13.75
ICMP 18404,P. agathicidia,10,10
ICMP 18404,P. agathicidia,11.25,11.5
ICMP 18404,P. agathicidia,13.75,13.75
ICMP 18404,P. agathicidia,11.25,12.5
ICMP 18404,P. agathicidia,11.25,12.5
ICMP 18404,P. agathicidia,12.5,15
ICMP 18404,P. agathicidia,7.5,8.75
ICMP 18404,P. agathicidia,15,15
ICMP 18404,P. agathicidia,8.75,8.75
ICMP 18404,P. agathicidia,11.25,12.5
ICMP 18404,P. agathicidia,11.25,11.25
ICMP 18404,P. agathicidia,10,11.25
ICMP 18404,P. agathicidia,10,11.25
ICMP 18404,P. agathicidia,11.25,12.5
ICMP 18404,P. agathicidia,12.5,16.25
ICMP 18406,P. agathicidia,10.5,12.5
ICMP 18406,P. agathicidia,11.25,11.25
ICMP 18406,P. agathicidia,11.25,11.25
ICMP 18406,P. agathicidia,10,10
ICMP 18406,P. agathicidia,10,10
ICMP 18406,P. agathicidia,10,11.25
ICMP 18406,P. agathicidia,10,10
ICMP 18406,P. agathicidia,12.5,12.5
ICMP 18406,P. agathicidia,12.5,13.75
ICMP 18406,P. agathicidia,13.75,13.75
ICMP 18406,P. agathicidia,12.5,11.25
ICMP 18406,P. agathicidia,11.25,12.5
ICMP 18406,P. agathicidia,11.25,10
ICMP 18406,P. agathicidia,10,12.5
ICMP 18406,P. agathicidia,10,10
ICMP 18406,P. agathicidia,12.5,12.5
ICMP 18406,P. agathicidia,12.5,12.5
ICMP 18406,P. agathicidia,12.5,12.5
ICMP 18406,P. agathicidia,10,10
ICMP 18406,P. agathicidia,10,10
ICMP 18407,P. agathicidia,12.5,12.5
ICMP 18407,P. agathicidia,10,10
ICMP 18407,P. agathicidia,12.5,12.5
ICMP 18407,P. agathicidia,11.25,11.25
ICMP 18407,P. agathicidia,10,10
ICMP 18407,P. agathicidia,10,10
ICMP 18407,P. agathicidia,12.5,12.5
ICMP 18407,P. agathicidia,12.5,12.5
ICMP 18407,P. agathicidia,10,10
ICMP 18407,P. agathicidia,12.5,12.5
ICMP 18407,P. agathicidia,11.25,11.25
ICMP 18407,P. agathicidia,11.25,11.25
ICMP 18407,P. agathicidia,11.25,11.25
ICMP 18407,P. agathicidia,12.5,11.25
ICMP 18407,P. agathicidia,10,10
ICMP 18407,P. agathicidia,11.25,10
ICMP 18407,P. agathicidia,10,10
ICMP 18407,P. agathicidia,10,10
ICMP 18407,P. agathicidia,12.5,12.5
ICMP 18407,P. agathicidia,10,10
ICMP 18408,P. agathicidia,12.5,13.75
ICMP 18408,P. agathicidia,10,12.5
ICMP 18408,P. agathicidia,10,10
ICMP 18408,P. agathicidia,11.25,12.5
ICMP 18408,P. agathicidia,10,10
ICMP 18408,P. agathicidia,12.5,10
ICMP 18408,P. agathicidia,10,11.25
ICMP 18408,P. agathicidia,10,11.25
ICMP 18408,P. agathicidia,11.25,10
ICMP 18408,P. agathicidia,11.25,10
ICMP 18408,P. agathicidia,10,10
ICMP 18408,P. agathicidia,11.25,12.5
ICMP 18408,P. agathicidia,10,10
ICMP 18408,P. agathicidia,12.5,12.5
ICMP 18408,P. agathicidia,11.25,10
ICMP 18408,P. agathicidia,10,10
ICMP 18408,P. agathicidia,10,10
ICMP 18408,P. agathicidia,10,11.25
ICMP 18408,P. agathicidia,10,11.25
ICMP 18408,P. agathicidia,10,11.25
ICMP 18410,P. agathicidia,10,12.5
ICMP 18410,P. agathicidia,12.5,12.5
ICMP 18410,P. agathicidia,10,11.25
ICMP 18410,P. agathicidia,10,12.5
ICMP 18410,P. agathicidia,12.5,12.5
ICMP 18410,P. agathicidia,12.5,12.5
ICMP 18410,P. agathicidia,12.5,12.5
ICMP 18410,P. agathicidia,12.5,12.5
ICMP 18410,P. agathicidia,10,12.5
ICMP 18410,P. agathicidia,12.5,12.5
ICMP 18410,P. agathicidia,10,11.25
ICMP 18410,P. agathicidia,11.25,12.5
ICMP 18410,P. agathicidia,12.5,12.5
ICMP 18410,P. agathicidia,10,10
ICMP 18410,P. agathicidia,10,10
ICMP 18410,P. agathicidia,11.25,12.5
ICMP 18410,P. agathicidia,11.25,13.75
ICMP 18410,P. agathicidia,11.25,13.75
ICMP 18410,P. agathicidia,12.5,12.5
ICMP 18410,P. agathicidia,11.25,12.5
ICMP 17027,P. agathicidia,12.5,17.5
ICMP 17027,P. agathicidia,12.5,17.5
ICMP 17027,P. agathicidia,12.5,17.5
ICMP 17027,P. agathicidia,12.5,10
ICMP 17027,P. agathicidia,12.5,12.5
ICMP 17027,P. agathicidia,12.5,12.5
ICMP 17027,P. agathicidia,12.5,12.5
ICMP 17027,P. agathicidia,12.5,15
ICMP 17027,P. agathicidia,12.5,15
ICMP 17027,P. agathicidia,12.5,12.5
ICMP 17027,P. agathicidia,10,12.5
ICMP 17027,P. agathicidia,7.5,12.5
ICMP 17027,P. agathicidia,7.5,11.25
ICMP 17027,P. agathicidia,7.5,12.5
ICMP 17027,P. agathicidia,7.5,10
ICMP 17027,P. agathicidia,7.5,12.5
ICMP 17027,P. agathicidia,10,12.5
ICMP 17027,P. agathicidia,10,12.5
ICMP 17027,P. agathicidia,10,15
ICMP 17027,P. agathicidia,10,12.5
